,name,id,ingredients,nutrition,minutes,score
79,amish cooked salad dressing,109340.0,"['egg', 'water', 'all-purpose flour', 'dry mustard', 'sugar', 'apple cider vinegar', 'vegetable oil', 'lemon juice']","[119.9, 13.0, 27.0, 0.0, 1.0, 5.0, 3.0]",10.0,0.189
80,a b c sandwich,170017.0,"['white bread', 'bologna', 'processed cheese', 'apple']","[319.1, 22.0, 42.0, 39.0, 21.0, 32.0, 12.0]",5.0,0.187
81,rise and shine  german fruit pancake,71457.0,"['eggs', 'flour', 'milk', 'salt', 'butter', 'powdered sugar', 'apple pie filling', 'toasted almonds']","[253.0, 13.0, 64.0, 10.0, 11.0, 16.0, 13.0]",45.0,0.186
82,afghan monkey,172729.0,"['coconut rum', 'melon liqueur', 'banana liqueur', 'blue curacao', 'pineapple juice', 'cream']","[375.0, 13.0, 45.0, 0.0, 2.0, 27.0, 5.0]",5.0,0.186
83,amazing spinach bacon quiche,320931.0,"['frozen spinach', 'bacon', 'skim milk', 'eggs', 'cheddar cheese', 'salt and pepper', 'pie crust']","[458.2, 49.0, 2.0, 26.0, 41.0, 68.0, 6.0]",95.0,0.185
84,aloha quick bread,299420.0,"['butter', 'sugar', 'eggs', 'banana', 'milk', 'orange peel', 'vanilla extract', 'almond extract', 'all-purpose flour', 'baking soda', 'salt', 'flaked coconut', 'nuts', 'crushed pineapple']","[3673.7, 255.0, 1094.0, 162.0, 115.0, 445.0, 167.0]",110.0,0.185
85,100 calorie fruit cupcakes,286807.0,"['egg beaters egg substitute', 'brown sugar', 'applesauce', 'vanilla', 'peaches', 'banana', 'unbleached flour', 'baking powder', 'baking soda']","[87.1, 0.0, 40.0, 5.0, 3.0, 0.0, 6.0]",25.0,0.183
86,am  applesauce w english mixed spice inspired by a french tart,408013.0,"['apples', 'sugar', 'mixed spice', 'salt', 'lemon juice', 'unsweetened apple juice']","[122.1, 0.0, 100.0, 1.0, 1.0, 0.0, 10.0]",40.0,0.183
87,american kitchen classic lexington style red slaw,475963.0,"['ketchup', 'apple cider vinegar', 'sugar', 'hot sauce', 'kosher salt', 'ground black pepper', 'cabbage']","[134.5, 0.0, 110.0, 39.0, 4.0, 0.0, 10.0]",20.0,0.183
88,360 rocket salad  arugula,276601.0,"['walnut pieces', 'arugula', 'gorgonzola', 'granny smith apple', 'walnut oil', 'apple cider vinegar', 'shallots', 'garlic cloves', 'salt', 'fresh ground black pepper', 'calvados']","[355.1, 52.0, 13.0, 6.0, 12.0, 24.0, 2.0]",25.0,0.183
89,more  more    apple pear jigglers,63593.0,"['unflavored gelatin', 'milk', 'cream cheese', 'yogurt', 'apple', 'pear']","[22.9, 1.0, 5.0, 0.0, 1.0, 3.0, 0.0]",125.0,0.183
90,all bran banana bread,69170.0,"['all-bran cereal', 'whole wheat flour', 'baking powder', 'bicarbonate of soda', '1% low-fat milk', 'caster sugar', 'egg', 'water', 'banana']","[109.0, 1.0, 52.0, 5.0, 6.0, 1.0, 8.0]",55.0,0.182
91,6 layer mediterranean dip,117512.0,"['cream cheese', 'feta cheese', 'milk', 'dried basil', 'frozen spinach', 'tomatoes', 'green onions', 'black olives']","[93.4, 12.0, 4.0, 8.0, 7.0, 25.0, 0.0]",10.0,0.182
92,7 fruit salad,127995.0,"['lime juice', 'water', 'sugar', 'nectarines', 'banana', 'blueberries', 'strawberry', 'watermelon', 'grapes', 'kiwi']","[149.6, 0.0, 120.0, 0.0, 3.0, 0.0, 12.0]",25.0,0.182
93,a date with a banana smoothie,406190.0,"['banana', 'dates', 'plain nonfat yogurt', 'low-fat milk', 'protein powder', 'flax seed meal', 'vanilla']","[260.1, 7.0, 122.0, 4.0, 20.0, 6.0, 15.0]",2.0,0.181
94,3 minute apple crumble,359609.0,"['green apple', 'applesauce', 'cinnamon', 'digestive biscuits']","[198.0, 0.0, 75.0, 1.0, 1.0, 0.0, 17.0]",3.0,0.179
95,5 minute mint chutney,11324.0,"['fresh mint leaves', 'onion', 'salt', 'sugar', 'apple cider vinegar', 'black pepper', 'green chili', 'tomatoes', 'ground cumin']","[73.2, 0.0, 45.0, 6.0, 3.0, 0.0, 5.0]",10.0,0.177
96,berry good  smoothie,28951.0,"['apple juice', 'strawberry', 'raspberries', 'blackberry', 'blueberries']","[133.0, 1.0, 103.0, 0.0, 2.0, 0.0, 10.0]",5.0,0.176
97,cream  of spinach soup,76808.0,"['water', 'salt', 'boiling potatoes', 'fresh spinach leaves', 'unsalted butter', 'coarse salt', 'fresh ground black pepper', 'nutmeg']","[126.0, 11.0, 2.0, 14.0, 5.0, 23.0, 4.0]",45.0,0.175
98,i can t believe it s spinach,38798.0,"['frozen chopped spinach', 'eggs', 'garlic powder', 'soft breadcrumbs', 'oregano', 'margarine', 'sage', 'onion']","[53.8, 5.0, 2.0, 3.0, 3.0, 3.0, 1.0]",30.0,0.173
99,all bran apple oatmeal,302909.0,"['water', 'rolled oats', 'all-bran cereal', 'cinnamon', 'salt', 'walnuts', 'apple', 'milk']","[255.9, 8.0, 64.0, 11.0, 19.0, 9.0, 18.0]",15.0,0.171
